rooms,square_m,floor,serie,price,link,region,street,building_total_floors,price_per_square_m,time
2.0,52,3.0,Jaun.,510.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/dlfih.html,Pļavnieki,Salnas 21,9,9.807692307692307,2023-01-23
1.0,34,10.0,Čehu pr.,230.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/icpig.html,Jugla,Vangažu 7,12,6.764705882352941,2023-01-23
1.0,21,1.0,P. kara,220.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/maskavas-priekshpilseta/beeoxc.html,Maskavas priekšpilsēta,Daugavpils 49,5,10.476190476190476,2023-01-23
3.0,125,2.0,Jaun.,1150.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecriga/agoix.html,Vecrīga,Kungu 25,5,9.2,2023-01-23
1.0,13,4.0,Hrušč.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/fdxef.html,Āgenskalns,Kristapa 9A,4,15.384615384615385,2023-01-23
1.0,43,2.0,119.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/zolitude/bnbch.html,Zolitūde,Zolitūdes 22,5,4.651162790697675,2023-01-23
3.0,59,1.0,Hrušč.,320.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/ilguciems/ajifg.html,Iļģuciems,Grīvas 11,5,5.423728813559323,2023-01-23
2.0,30,2.0,Priv. m.,290.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/achdl.html,Ziepniekkalns,Mālu 10,2,9.666666666666666,2023-01-23
2.0,42,2.0,Hrušč.,320.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/enxge.html,Purvciems,Vaidavas 8,5,7.6190476190476195,2023-01-23
1.0,23,1.0,P. kara,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dpimm.html,centrs,M. Matīsa 3,6,8.695652173913043,2023-01-23
2.0,54,3.0,Specpr.,400.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/aolnn.html,Āgenskalns,Mārupes 23,5,7.407407407407407,2023-01-23
4.0,90,3.0,Jaun.,990.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/alipm.html,Teika,Kuršu 27b,3,11.0,2023-01-23
2.0,57,1.0,119.,150.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/ddedc.html,Purvciems,Mārcienas 2,9,2.631578947368421,2023-01-23
2.0,40,1.0,Hrušč.,300.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/aolfo.html,Teika,Biķernieku 71,5,7.5,2023-01-23
1.0,38,4.0,M. ģim.,180.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/gefgo.html,Pļavnieki,Ulbrokas 6,5,4.7368421052631575,2023-01-23
1.0,30,3.0,LT proj.,180.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/bnnli.html,Purvciems,Dzelzavas 80,5,6.0,2023-01-23
2.0,44,4.0,LT proj.,300.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/gcpel.html,Ķengarags,Salaspils 18/4,5,6.8181818181818175,2023-01-23
2.0,60,3.0,Jaun.,600.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/shampeteris-pleskodale/fefjp.html,Šampēteris-Pleskodāle,Kalnciema 95,5,10.0,2023-01-23
1.0,33,4.0,P. kara,240.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/grizinkalns/bpmkbe.html,Grīziņkalns,Lauku 1,4,7.272727272727272,2023-01-23
2.0,40,1.0,Hrušč.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/ghfcn.html,Vecmīlgrāvis,Vecmīlgrāvja 7,4,5.0,2023-01-23
2.0,46,2.0,LT proj.,300.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/acnid.html,Jugla,Kvēles 25,5,6.521739130434782,2023-01-23
2.0,65,1.0,Jaun.,650.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/adboo.html,Āgenskalns,Liepājas 2,6,10.0,2023-01-23
2.0,45,3.0,P. kara,160.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/bolderaya/eikdg.html,Bolderāja,Lielupes 31,3,3.555555555555556,2023-01-23
3.0,80,4.0,Jaun.,1500.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bhdpe.html,centrs,Rūpniecības 50,7,18.75,2023-01-23
2.0,50,3.0,Jaun.,500.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/coodb.html,Pļavnieki,Dravnieku 1,9,10.0,2023-01-23
2.0,51,4.0,602.,300.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/dkhii.html,Ziepniekkalns,Ozolciema 42/2,9,5.882352941176472,2023-01-23
1.0,44,2.0,M. ģim.,210.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/bolderaya/ddpdg.html,Bolderāja,Platā 10,5,4.7727272727272725,2023-01-23
3.0,66,4.0,103.,290.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/katlakalns/blenh.html,Katlakalns,Gulbju 13,5,4.393939393939394,2023-01-23
2.0,56,3.0,Jaun.,600.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/hcjkh.html,centrs,Indrānu 8,6,10.714285714285714,2023-01-23
2.0,55,2.0,Staļina,450.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/dzeguzhkalns/ahejm.html,Dzegužkalns,Daugavgrīvas 68а,5,8.181818181818182,2023-01-23
2.0,45,4.0,LT proj.,160.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/dfxep.html,Ķengarags,Bultu 8,5,3.555555555555556,2023-01-23
1.0,34,7.0,Čehu pr.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/gnmof.html,Jugla,Vangažu 11,12,5.882352941176472,2023-01-23
1.0,27,2.0,LT proj.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/cpobe.html,Imanta,Tālavas g. 13,5,7.407407407407407,2023-01-23
2.0,30,2.0,Renov.,380.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/gdbpc.html,centrs,Matīsa 86,5,12.666666666666664,2023-01-23
2.0,40,1.0,P. kara,130.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/clldn.html,Pļavnieki,Lubānas 41,2,3.25,2023-01-23
2.0,50,2.0,Jaun.,420.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/aimek.html,Pļavnieki,Jasmuižas 24,3,8.4,2023-01-23
1.0,27,5.0,P. kara,400.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bxxll.html,centrs,Valdemāra 113,5,14.814814814814815,2023-01-23
1.0,12,4.0,M. ģim.,230.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/gmpef.html,Āgenskalns,Kristapa 10,4,19.166666666666668,2023-01-23
1.0,11,8.0,602.,180.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/hxghl.html,Imanta,Kurzemes pr. 100,9,16.363636363636363,2023-01-23
1.0,24,2.0,P. kara,220.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/adgcb.html,centrs,Čaka 136a,2,9.166666666666666,2023-01-23
1.0,41,2.0,Jaun.,300.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/zolitude/ggkcf.html,Zolitūde,Irlavas 34,3,7.317073170731707,2023-01-23
2.0,51,1.0,P. kara,600.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/cibld.html,centrs,Valdemāra 77,5,11.764705882352944,2023-01-23
1.0,35,1.0,Renov.,290.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/fglhi.html,centrs,Valmieras 34,2,8.285714285714286,2023-01-23
1.0,16,1.0,P. kara,320.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecriga/exhpx.html,Vecrīga,Jēkaba 26/28,5,20.0,2023-01-23
2.0,42,1.0,Hrušč.,260.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/hceih.html,Purvciems,Raunas 39 k-2,5,6.190476190476191,2023-01-23
1.0,35,3.0,P. kara,330.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bpnlm.html,centrs,Cēsu 43,6,9.428571428571429,2023-01-23
2.0,63,1.0,Jaun.,480.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/cbgoo.html,Purvciems,Astras 8,24,7.6190476190476195,2023-01-23
3.0,70,3.0,P. kara,420.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/tornjakalns/adfii.html,Torņakalns,Bauskas 8,3,6.0,2023-01-23
1.0,23,3.0,Renov.,300.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/tornjakalns/ggdox.html,Torņakalns,Mūkusalas 56,3,13.043478260869565,2023-01-23
3.0,87,2.0,P. kara,450.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dxmnc.html,centrs,Ģertrūdes 46,5,5.172413793103448,2023-01-23
2.0,56,3.0,Renov.,520.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/dbhgm.html,Āgenskalns,Mārupes 6,4,9.285714285714286,2023-01-23
1.0,21,1.0,P. kara,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/epkcc.html,Āgenskalns,Smiļģa 5a,2,9.523809523809524,2023-01-23
2.0,41,3.0,Jaun.,500.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhciems/apckk.html,Mežciems,Hipokrāta 22,5,12.19512195121951,2023-01-23
1.0,28,1.0,P. kara,220.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/krasta-st-area/dxilc.html,Krasta r-ns,Salacas 1,4,7.857142857142858,2023-01-23
2.0,50,3.0,Renov.,390.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/maskavas-priekshpilseta/bkbhgh.html,Maskavas priekšpilsēta,Kalupes 15,4,7.8,2023-01-23
1.0,20,3.0,P. kara,195.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/difmc.html,centrs,Ģertrūdes 64,5,9.75,2023-01-23
2.0,66,1.0,Jaun.,450.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/diimm.html,Jugla,M. Juglas 2a,3,6.8181818181818175,2023-01-23
2.0,67,13.0,Jaun.,700.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/fpjek.html,centrs,Skanstes 29,23,10.447761194029852,2023-01-23
3.0,50,1.0,Renov.,580.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ajegm.html,centrs,Bruņinieku 121B,5,11.6,2023-01-23
2.0,50,2.0,LT proj.,350.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/bnooh.html,Ķengarags,Bultu 4,5,7.0,2023-01-23
1.0,19,4.0,Renov.,240.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/aeflh.html,Ķengarags,Maskavas 261,5,12.63157894736842,2023-01-23
2.0,86,1.0,Jaun.,450.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ahxhk.html,centrs,Čaka 92,5,5.232558139534883,2023-01-23
2.0,47,5.0,P. kara,270.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ebkgg.html,centrs,Brīvības 121,5,5.74468085106383,2023-01-23
1.0,27,5.0,LT proj.,250.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/bxbkj.html,Ķengarags,Aviācijas 11,4,9.25925925925926,2023-01-23
1.0,8,1.0,P. kara,85.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/hpbfx.html,Āgenskalns,Smiļģa 5a,2,10.625,2023-01-23
2.0,62,5.0,P. kara,550.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/binmc.html,centrs,Elizabetes 2,5,8.870967741935484,2023-01-23
2.0,54,6.0,P. kara,290.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/clihj.html,centrs,Brīvības 121,6,5.37037037037037,2023-01-23
2.0,47,5.0,467.,330.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/fhgni.html,Āgenskalns,Vīlipa 6,9,7.0212765957446805,2023-01-23
2.0,48,3.0,Hrušč.,580.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dpolm.html,centrs,Barona 96,5,12.083333333333336,2023-01-23
2.0,42,1.0,Hrušč.,250.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/adfmx.html,Jugla,Juglas 5/1,5,5.9523809523809526,2023-01-23
4.0,260,1.0,Jaun.,1000.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/cllmi.html,centrs,Tomsona 39,10,3.8461538461538463,2023-01-23
1.0,28,1.0,P. kara,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/maskavas-priekshpilseta/flngf.html,Maskavas priekšpilsēta,Daugavpils 52,5,7.142857142857142,2023-01-23
2.0,61,1.0,Jaun.,400.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/hxbco.html,Jugla,Ciemupes 2,9,6.557377049180328,2023-01-23
3.0,87,3.0,Renov.,650.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dxjhj.html,centrs,Marijas 16,7,7.471264367816093,2023-01-23
1.0,27,4.0,Hrušč.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/colmc.html,Ķengarags,Prūšu 38,5,7.407407407407407,2023-01-23
3.0,61,1.0,Hrušč.,300.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/dhegn.html,Ķengarags,Maskavas 256,5,4.918032786885246,2023-01-23
1.0,28,2.0,Jaun.,170.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/elxmk.html,Pļavnieki,Rencēnu 40,5,6.071428571428571,2023-01-23
2.0,50,4.0,602.,100.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/gbejj.html,Imanta,Jūrmalas g. 93/2,9,2.0,2023-01-23
4.0,119,3.0,Jaun.,1000.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bpfbi.html,centrs,Republikas laukums 3,6,8.403361344537815,2023-01-23
3.0,60,5.0,P. kara,370.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/afdfm.html,centrs,Matīsa 43,5,6.166666666666668,2023-01-23
2.0,42,3.0,Hrušč.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/agjkn.html,Ķengarags,Lokomotīves 22,5,4.761904761904762,2023-01-23
1.0,32,8.0,Čehu pr.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/ehepe.html,Ķengarags,Ikšķiles 5,12,6.25,2023-01-23
